Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Total U.S.",Weekly,"2017-01-02 00:00:00",Conventional,0.890000000,38879716.85,12707894.99,14201200.68,549844.57,11420776.61,8551133.56,2802709.32,66933.73
Albany,Weekly,"2017-01-02 00:00:00",Conventional,1.470000000,129948.23,4845.77,117027.41,200.36,7874.69,7866.86,7.83,0.00
Atlanta,Weekly,"2017-01-02 00:00:00",Conventional,0.930000000,547565.88,224073.54,118926.37,337.48,204228.49,111599.58,92628.91,0.00
Baltimore/Washington,Weekly,"2017-01-02 00:00:00",Conventional,1.470000000,631760.81,54530.42,408952.26,14387.01,153891.12,151345.59,2542.41,3.12
Boise,Weekly,"2017-01-02 00:00:00",Conventional,0.920000000,104510.11,27845.16,9408.92,11341.75,55914.28,53093.47,2793.61,27.20
Boston,Weekly,"2017-01-02 00:00:00",Conventional,1.290000000,458830.49,4119.90,371223.34,3933.72,79553.53,79339.78,213.75,0.00
Buffalo/Rochester,Weekly,"2017-01-02 00:00:00",Conventional,1.430000000,105349.04,1285.48,58531.95,102.52,45429.09,45155.38,255.65,18.06
California,Weekly,"2017-01-02 00:00:00",Conventional,0.890000000,7175276.66,2266313.37,2877688.31,90899.53,1940375.45,1762033.74,151333.95,27007.76
Charlotte,Weekly,"2017-01-02 00:00:00",Conventional,1.210000000,217051.50,47765.32,94571.69,15036.44,59678.05,45920.26,13711.12,46.67
Chicago,Weekly,"2017-01-02 00:00:00",Conventional,1.150000000,803348.87,87695.70,531287.44,114647.36,69718.37,63550.62,1078.38,5089.37
Cincinnati/Dayton,Weekly,"2017-01-02 00:00:00",Conventional,0.640000000,329279.29,2646.83,130250.60,2530.91,193850.95,30669.35,163180.08,1.52
Columbus,Weekly,"2017-01-02 00:00:00",Conventional,0.830000000,218881.63,87684.11,50243.59,4324.39,76629.54,73432.68,3196.86,0.00
"Dallas/Ft. Worth",Weekly,"2017-01-02 00:00:00",Conventional,0.680000000,1336539.20,526727.72,438041.57,4254.90,367515.01,364446.02,2152.59,916.40
Denver,Weekly,"2017-01-02 00:00:00",Conventional,0.800000000,959368.84,138364.14,336467.73,12664.38,471872.59,310280.15,161495.22,97.22
Detroit,Weekly,"2017-01-02 00:00:00",Conventional,0.750000000,480612.79,100364.10,165059.57,18804.24,196384.88,194306.37,2054.18,24.33
"Grand Rapids",Weekly,"2017-01-02 00:00:00",Conventional,0.770000000,306129.40,1217.67,224774.25,7582.69,72554.79,68737.04,3714.24,103.51
"Great Lakes",Weekly,"2017-01-02 00:00:00",Conventional,0.880000000,4225245.40,636277.70,2157249.60,189356.95,1242361.15,885769.21,349032.80,7559.14
Harrisburg/Scranton,Weekly,"2017-01-02 00:00:00",Conventional,1.350000000,235430.29,41800.77,136109.66,420.83,57099.03,52817.14,4281.89,0.00
Hartford/Springfield,Weekly,"2017-01-02 00:00:00",Conventional,1.640000000,232663.88,2772.36,188107.91,2695.77,39087.84,38034.62,919.42,133.80
Houston,Weekly,"2017-01-02 00:00:00",Conventional,0.510000000,1475741.07,985040.19,290583.75,6313.88,193803.25,62497.42,131305.83,0.00
Indianapolis,Weekly,"2017-01-02 00:00:00",Conventional,0.910000000,186464.64,16193.14,97953.50,5029.22,67288.78,39169.93,28118.85,0.00
Jacksonville,Weekly,"2017-01-02 00:00:00",Conventional,0.810000000,263730.05,94909.67,46910.39,302.55,121607.44,35501.09,86106.35,0.00
"Las Vegas",Weekly,"2017-01-02 00:00:00",Conventional,0.770000000,363865.19,95268.03,75111.35,7736.95,185748.86,62603.76,123145.10,0.00
"Los Angeles",Weekly,"2017-01-02 00:00:00",Conventional,0.840000000,3551337.17,1223299.39,829896.69,56808.74,1441332.35,1332601.11,88931.96,19799.28
Louisville,Weekly,"2017-01-02 00:00:00",Conventional,0.770000000,110696.17,1692.13,60441.72,643.88,47918.44,12573.63,35198.14,146.67
